country_or_area,year,demand,production,exports,imports,geothermal,hydro,solar,tide,wind
Bahrain,1992,3907,3907,0,0,0,0,0,0,0
Albania,1994,3680,3903,185,0,0,3771,0,0,0
Lebanon,1992,3940,3900,0,40,0,550,0,0,0
Dominican Republic,1991,3721,3895,0,0,0,634,0,0,0
Panama,1996,3749,3887,138,49,0,3003,0,0,0
Bolivia (Plur. State of),1999,3865,3881,0,15,0,1786,0,0,0
Bolivia (Plur. State of),2000,3867,3880,0,16,0,1945,0,0,0
Luxembourg,2009,6225,3879,2604,6022,0,833,20,0,63
Lao People's Dem. Rep.,2009,2753.5759,3874.3152,1939.367,818.6277,0,3381.0152,193.3,0,0
Lao People's Dem. Rep.,2007,2103.6914,3862.9569,2226.4349,467.1694,0,3369.6569,193.3,0,0
Lao People's Dem. Rep.,2004,1713.8322,3858.7588,2422.5146,277.588,0,3345.4588,193.3,0,0
El Salvador,2000,4438,3851,112,808,786,1175,0,0,0
El Salvador,1998,3806,3837,23,61,451,1566,0,0,0
Latvia,1992,7672,3834,2,4080,0,2523,0,0,0
Sudan (former),2005,3808,3826,0,0,0,1261,0,0,0
Nicaragua,2011,3487,3824,41,10,273,444,0,0,211
Luxembourg,2012,6379,3818,2622,6732,0,1160,38,0,77
Trinidad and Tobago,1993,3662,3817,0,0,0,0,0,0,0
Costa Rica,1991,3826,3808,174,194,0,3630,0,0,0
Lao People's Dem. Rep.,2011,2530.367,3802.47,2020,747.897,0,3309.17,193.3,0,0
Lao People's Dem. Rep.,2012,2530.367,3802.47,2020,747.897,0,3309.17,193.3,0,0
Albania,2008,6230.23,3796.51,0,2433.72,0,3796.51,0,0,0
Brunei Darussalam,2010,3633,3792,0,0,0,0,0,0,0
El Salvador,1999,3971,3792,208,458,598,1767,0,0,0
Bahrain,1990,3792,3792,0,0,0,0,0,0,0
Jamaica,1993,3781,3791,0,0,0,90,0,0,0
Cyprus,2002,3574,3785,0,0,0,0,0,0,0
Ethiopia,2008,3504,3777,0,0,14,3296,0,0,0
Yemen,2002,3411,3769,0,0,0,0,0,0,0
Papua New Guinea,2012,3763,3764,0,0,422,983,0,0,0
Lao People's Dem. Rep.,2010,2733.963,3755.063,2020.083,998.983,0,3261.763,193.3,0,0
Albania,1991,2409,3752,1173,0,0,3567,0,0,0
Kenya,1995,3919,3747,0,172,290,3123,0,0,0
Brunei Darussalam,2011,3657,3725,0,0,0,0,2,0,0
Jordan,1991,3493,3723,0,0,0,7,0,0,0
Trinidad and Tobago,1991,3559,3720,0,0,0,0,0,0,0
Luxembourg,2011,6647,3718,2614,7096,0,1130,26,0,64
Bolivia (Plur. State of),1998,3695,3710,1,15,0,1556,0,0,0
Mongolia,2007,3272,3702,10,195,0,0,0,0,0
Dominican Republic,1990,3501,3698,0,0,0,449,0,0,0
Luxembourg,2002,5959,3697,2940,6414,0,988,0,0,24
Guatemala,1996,3655,3696,43,20,0,2300,0,0,0
Albania,2001,5414,3692,69,1820,0,3555,0,0,0
Lao People's Dem. Rep.,2003,1634.2111,3689.3044,2284.4369,229.3436,0,3178.0044,193.3,0,0
Jordan,1990,3448,3688,0,0,0,18,0,0,0
Albania,2002,5756,3686,58,2163,0,3512,0,0,0
Cameroon,2003,3684,3684,0,0,0,3528,0,0,0
Papua New Guinea,2011,3666,3666,0,0,422,969,0,0,0
Nicaragua,2010,3327,3659,43,10,302,504,0,0,163
Honduras,2000,3922,3659,5,281,0,2260,0,0,0
Yemen,2001,3274,3643,0,0,0,0,0,0,0
El Salvador,1997,3665,3643,18,106,486,1429,0,0,0
Lebanon,1991,3681,3641,0,40,0,500,0,0,0
Papua New Guinea,2010,3630,3631,0,0,422,957,0,0,0
Bahrain,1991,3630,3630,0,0,0,0,0,0,0
Luxembourg,2003,6214,3621,2799,6562,0,911,1,0,26
United Rep. of Tanzania,2005,3685,3613,0,72,0,1778,0,0,0
Brunei Darussalam,2009,3461,3612,0,0,0,0,0,0,0
Myanmar,1994,3444,3594,0,0,0,1614,0,0,0
Trinidad and Tobago,1990,3401,3577,0,0,0,0,0,0,0
Luxembourg,2008,6704,3559,2484,6830,0,965,20,0,61
Cyprus,2001,3364,3551,0,0,0,0,0,0,0
Sri Lanka,1992,3521,3551,0,0,0,2900,0,0,0
Ethiopia,2007,3128,3547,0,0,0,3385,0,0,0
Mongolia,2006,3062,3545,21,168,0,0,0,0,0
Costa Rica,1990,3706,3544,126,289,0,3497,0,0,0
Nepal,2012,4308,3543,4,793,0,3533,0,0,0
Cameroon,2001,3541,3541,0,0,0,3474,0,0,0
Kenya,1994,3802,3538,0,264,261,3068,0,0,0
Panama,1995,3502,3535,78,85,0,2418,0,0,0
Papua New Guinea,2008,3510,3510,0,0,422,931,0,0,0
Nepal,2014,4808.26,3507.65,3.4,1318.75,0,3498,0,0,0
Nepal,2011,4202,3492,4,746,0,3490,0,0,0
Papua New Guinea,2009,3486,3486,0,0,422,944,0,0,0
Albania,1993,3173,3484,141,0,0,3314,0,0,0
Cameroon,2000,3480,3480,0,0,0,3442,0,0,0
Panama,1994,3481,3475,66,149,0,2391,0,0,0
Bolivia (Plur. State of),1997,3457,3472,1,14,0,1565,0,0,0
Sudan (former),2004,3446,3467,0,0,0,1107,0,0,0
Nicaragua,2009,3226,3453,2,2,297,297,0,0,110
El Salvador,1996,3422,3452,21,42,431,1883,0,0,0
United Rep. of Tanzania,2006,3616,3447,0,169,0,1436,0,0,0
Papua New Guinea,2005,3438,3438,0,0,132,861,0,0,0
Papua New Guinea,2007,3430,3429,0,0,422,909,0,0,0
Brunei Darussalam,2008,3309,3423,0,0,0,0,0,0,0
Mongolia,2005,2954,3419,12,168,0,0,0,0,0
Honduras,1998,3445,3414,16,60,0,1923,0,0,0
Yemen,2000,3027,3413,0,0,0,0,0,0,0
Guatemala,1995,3433,3413,30,65,0,1904,0,0,0
Senegal,2014,3688,3406,0,318,0,0,4,0,0
Senegal,2013,3672,3403,0,308,0,0,4,0,0
Papua New Guinea,2004,3363,3402,0,0,0,829,0,0,0
El Salvador,1995,3296,3398,65,30,443,1471,0,0,0
Kenya,1993,3669,3396,0,273,272,2993,0,0,0
Brunei Darussalam,2007,3280,3395,0,0,0,0,0,0,0
Myanmar,1993,3244,3385,0,0,0,1705,0,0,0
Sri Lanka,1991,3354,3377,0,0,0,3116,0,0,0
Cameroon,1999,3376,3376,0,0,0,3334,0,0,0
Cyprus,2000,3205,3370,0,0,0,0,0,0,0
Nicaragua,2008,3151,3361,0,28,322,534,0,0,0
Albania,1992,2677,3357,510,0,0,3219,0,0,0
Sudan (former),2003,3337,3354,0,0,0,1163,0,0,0
Mongolia,1990,2981,3348,0,228,0,0,0,0,0
Papua New Guinea,2006,3348,3348,0,0,227,863,0,0,0
Bosnia and Herzegovina,1993,3495,3327,88,311,0,2367,0,0,0
Angola,2006,3141,3306,0,0,0,2665,0,0,0
Mongolia,2004,2837,3303,8,171,0,0,0,0,0
Cameroon,2002,3300,3300,0,0,0,3182,0,0,0
Brunei Darussalam,2006,3232,3298,0,0,0,0,0,0,0
Panama,1993,3336,3286,102,192,0,2295,0,0,0
Bolivia (Plur. State of),1996,3210,3279,3,13,0,1466,0,0,0
Ethiopia,2006,2894,3269,0,0,0,3259,0,0,0
Brunei Darussalam,2005,3199,3264,0,0,0,0,0,0,0
Uganda,2014,3003.4,3257.7,125.1,32.7,0,2560.6,0,0,0
Brunei Darussalam,2004,3171,3236,0,0,0,0,0,0,0
Mongolia,1991,2718,3229,0,84,0,0,0,0,0
Kenya,1991,3361,3227,0,134,298,2770,0,0,0
Côte d'Ivoire,1996,2754,3225,436,0,0,1775,0,0,0
Angola,2007,3056,3217,0,0,0,2497,0,0,0
Kenya,1992,3455,3215,0,240,272,2796,0,0,0
Nepal,2010,3841,3208,31,694,0,3205,0,0,0
Nicaragua,2007,3023,3208,0,64,243,306,0,0,0
El Salvador,1994,3121,3203,43,32,407,1448,0,0,0
Albania,1990,3299,3197,489,591,0,2801,0,0,0
Honduras,1999,3307,3184,6,141,0,2130,0,0,0
Papua New Guinea,2003,3078,3178,0,0,0,929,0,0,0
Brunei Darussalam,2003,3106,3169,0,0,0,0,0,0,0
Cameroon,1998,3168,3168,0,0,0,3116,0,0,0
Guatemala,1994,3154,3154,31,42,0,2042,0,0,0
Sri Lanka,1990,3134,3150,0,0,0,3145,0,0,0
Cyprus,1999,2986,3139,0,0,0,0,0,0,0
Mongolia,2003,2684,3138,7,171,0,0,0,0,0
Yemen,1999,2832,3136,0,0,0,0,0,0,0
Nicaragua,2006,2919,3134,0,53,311,308,0,0,0
Nepal,2013,4158,3130,4,1072,0,3120,0,0,0
Cameroon,1997,3115,3128,0,0,0,3092,0,0,0
Latvia,1996,6191,3124,211,3438,0,1860,0,0,1
Nepal,2009,3642,3115,75,639,0,3102,0,0,0
Mongolia,2002,2614,3112,16,167,0,0,0,0,0
Republic of Moldova,1998,4426,3100,0,1916,0,84,0,0,0
Lao People's Dem. Rep.,1999,1005.1864,3061.8003,2228.811,172.1971,0,2800.8003,0,0,0
Bolivia (Plur. State of),1995,2993,3061,3,13,0,1305,0,0,0
Cambodia,2014,4826,3059,0,1803,0,1852,3,0,0
Kenya,1990,3215,3044,0,171,336,2537,0,0,0
Montenegro,2014,3166,3040,642,903,0,1716,2,0,0
Brunei Darussalam,2002,2976,3036,0,0,0,0,0,0,0
Guatemala,1993,2941,3031,90,11,0,1922,0,0,0
Mongolia,2001,2603,3017,18,196,0,0,0,0,0
Panama,1992,3123,3016,65,211,0,1891,0,0,0
Myanmar,1992,2946,2996,0,0,0,1518,0,0,0
Cyprus,1998,2811,2991,0,0,0,0,0,0,0
Honduras,1996,2910,2985,160,96,0,2158,0,0,0
Luxembourg,2014,6336,2967,2067,6961,0,1169,95,0,80
Cameroon,1996,2950,2963,0,0,0,2868,0,0,0
Côte d'Ivoire,1995,2920,2955,0,0,0,1727,0,0,0
Montenegro,2006,4496,2952,72,1728,0,1750,0,0,0
Albania,2007,5726,2946,107,2935,0,2874,0,0,0
Mauritius,2014,2892.9,2935.9,0,0,0,90.8,24.6,0,3.2
Mongolia,2000,2585,2930,0,181,0,0,0,0,0
Mongolia,1999,2633,2930,0,223,0,0,0,0,0
Mongolia,1992,2541,2929,0,102,0,0,0,0,0
Senegal,2012,3166,2917,0,290,0,0,0,0,0
Yemen,1998,2567,2912,0,0,0,0,0,0,0
Brunei Darussalam,2001,2852,2910,0,0,0,0,0,0,0
Panama,1991,3017,2910,64,203,0,2036,0,0,0
Sudan (former),2002,2880,2897,0,0,0,1287,0,0,0
United Rep. of Tanzania,2004,3007,2894,0,113,0,2357,0,0,0
Luxembourg,2013,6336,2888,1907,6852,0,1158,74,0,83
Cameroon,1993,2867,2885,0,0,0,2802,0,0,0
Papua New Guinea,2002,2785,2885,0,0,0,931,0,0,0
Mauritius,2013,2840.2,2882.2,0,0,0,94.8,2.7,0,3.6
Bolivia (Plur. State of),1994,2806,2873,3,19,0,1365,0,0,0
Nicaragua,2005,2589,2866,8,25,271,434,0,0,0
Montenegro,2005,4284,2864,44,1578,0,1866,0,0,0
Uganda,2013,2691.8,2860.9,104.7,46.5,0,1946,0,0,0
Réunion,2014,2857.2,2857.2,0,0,0,425.8,235.9,0,15.7
United Rep. of Tanzania,2002,2933,2854,0,79,0,2719,0,0,0
Ethiopia,2005,2619,2845,0,0,0,2833,0,0,0
Cameroon,1995,2832,2844,0,0,0,2753,0,0,0
Montenegro,2012,3439,2844,228,964,0,1477,0,0,0
Brunei Darussalam,2000,2785,2842,0,0,0,0,0,0,0
Montenegro,2009,3739,2841,172,1151,0,2073,0,0,0
Honduras,1995,2811,2838,30,12,0,2093,0,0,0
El Salvador,1993,2848,2833,11,90,380,1518,0,0,0
Montenegro,2008,4150,2828,108,1571,0,1539,0,0,0
Lebanon,1990,2863,2825,0,38,0,300,0,0,0
Nicaragua,2004,2553,2822,22,23,255,321,0,0,0
Réunion,2013,2813.4,2813.4,0,0,0,557,224.2,0,15.1
Nepal,2008,3091,2812,46,356,0,2803,0,0,0
Réunion,2012,2811.7,2811.7,0,0,0,488.4,190.7,0,18.6
Montenegro,2011,3608,2809,431,1383,0,1209,0,0,0
Brunei Darussalam,1998,2751,2807,0,0,0,0,0,0,0
Guatemala,1992,2712,2802,89,35,0,2113,0,0,0
Mauritius,2012,2754.1,2797.5,0,0,0,74.1,0.9,0,3.6
Nepal,2007,3126,2792,60,425,0,2783,0,0,0
Cameroon,1992,2767,2782,0,0,0,2702,0,0,0
Cameroon,1994,2765,2776,0,0,0,2688,0,0,0
Panama,1990,2856,2771,90,204,0,2213,0,0,0
Mongolia,1998,2574,2765,60,367,0,0,0,0,0
United Rep. of Tanzania,2001,2819,2753,0,66,0,2602,0,0,0
Réunion,2011,2749.8,2749.8,0,0,0,401,141.9,0,11.6
Nepal,2006,2967,2748,77,329,0,2735,0,0,0
Cameroon,1991,2731,2746,0,0,0,2671,0,0,0
Mauritius,2011,2694.6,2738.6,0,0,0,56.5,0,0,2.8
Brunei Darussalam,1999,2676,2731,0,0,0,0,0,0,0
Cameroon,1990,2716,2731,0,0,0,2656,0,0,0
Cyprus,1997,2576,2728,0,0,0,0,0,0,0
Mongolia,1997,2514,2720,42,344,0,0,0,0,0
Mongolia,1994,2460,2715,0,215,0,0,0,0,0
Nicaragua,2003,2449,2708,21,12,271,298,0,0,0
Bolivia (Plur. State of),1993,2636,2707,3,16,0,1558,0,0,0
Réunion,2010,2699.5,2699.5,0,0,0,541.5,76.1,0,16.9
Mauritius,2010,2648.7,2688.8,0,0,0,101,0,0,2.5
Papua New Guinea,2001,2587,2687,0,0,0,931,0,0,0
Cyprus,1994,2552,2685,0,0,0,0,0,0,0
Myanmar,1991,2610,2677,0,0,0,1240,0,0,0
Honduras,1994,2719,2672,6,62,0,2447,0,0,0
United Rep. of Tanzania,2003,2753,2658,0,95,0,2548,0,0,0
Bhutan,2005,738.6,2647.5,1943,34.1,0,2646,0,0,0
Uganda,2012,2472.5,2639.7,90.8,37,0,1724.8,0,0,0
Angola,2005,2492,2632,0,0,0,2219,0,0,0
Mongolia,1995,2535,2629,0,381,0,0,0,0,0
New Caledonia,2014,2559,2621.84,0,0,0,288.3,4.54,0,57.2
Réunion,2009,2618.2,2618.2,0,0,0,531,21.1,0,14.6
Senegal,2010,2813,2618,0,253,0,0,0,0,0
Mongolia,1996,2497,2614,0,383,0,0,0,0,0
Cyprus,1996,2464,2609,0,0,0,0,0,0,0
Cyprus,1993,2453,2590,0,0,0,0,0,0,0
Uganda,2011,2433.21,2588,89,36.31,0,1691,0,0,0
Mongolia,1993,2359,2582,0,197,0,0,0,0,0
Mauritius,2009,2538.4,2577.2,0,0,0,122,0,0,1.5
Sudan (former),2001,2543,2560,0,0,0,1236,0,0,0
Senegal,2011,2783,2560,0,257,0,0,0,0,0
Mauritius,2008,2519.2,2557.1,0,0,0,108,0,0,0.4
Yemen,1997,2282,2557,0,0,0,0,0,0,0
Nicaragua,2002,2331,2553,7,15,210,303,0,0,0
Réunion,2008,2546.1,2546.1,0,0,0,632.1,6,0,15
Ethiopia,2004,2305,2539,0,0,0,2521,0,0,0
Nepal,2005,2672,2533,97,266,0,2517,0,0,0
Bhutan,2003,702.8,2529.1,1845,18.7,0,2527,0,0,0
New Caledonia,2013,2505,2505.76,0,0,0,455.2,4.66,0,52.3
Cyprus,1995,2352,2497,0,0,0,0,0,0,0
Guatemala,1991,2481,2493,0,0,0,2147,0,0,0
Senegal,2009,2666,2489,0,239,0,0,0,0,0
Honduras,1993,2529,2486,13,64,0,2264,0,0,0
United Rep. of Tanzania,2000,2534,2479,0,55,0,2145,0,0,0
Myanmar,1990,2390,2478,0,0,0,1193,0,0,0
Nicaragua,2001,2304,2473,0,17,206,197,0,0,0
Mauritius,2007,2424.4,2465.4,0,0,0,84,0,0,0.4
Bolivia (Plur. State of),1992,2393,2465,3,15,0,1318,0,0,0
Réunion,2007,2462.8,2462.8,0,0,0,658,5,0,10.3
Jamaica,1990,2450,2458,0,0,0,110,0,0,0
Yemen,1996,2150,2457,0,0,0,0,0,0,0
Uganda,2010,2312.81,2456,75.4,29.21,0,1604.7,0,0,0
Sudan (former),2000,2434,2450,0,0,0,1183,0,0,0
Côte d'Ivoire,1990,2414,2439,0,0,0,1464,0,0,0
Cyprus,1992,2291,2430,0,0,0,0,0,0,0
Honduras,1997,2572,2429,6,161,0,1378,0,0,0
El Salvador,1992,2413,2426,46,98,391,1416,0,0,0
Sudan (former),1999,2407,2423,0,0,0,1210,0,0,0
Yemen,1995,2124,2422,0,0,0,0,0,0,0
Nepal,2004,2526,2418,111,241,0,2404,0,0,0
Brunei Darussalam,1997,2349,2407,0,0,0,0,0,0,0
Senegal,2008,2567,2402,0,229,0,0,0,0,0
Bolivia (Plur. State of),1991,2256,2400,3,12,0,1427,0,0,0
United Rep. of Tanzania,1999,2434,2381,0,53,0,2165,0,0,0
Papua New Guinea,2000,2273,2373,0,0,0,931,0,0,186
Gabon,2014,2672,2367,0,388,0,795,2,0,0
Réunion,2006,2365.1,2365.1,0,0,0,576.4,2,0,3.7
Botswana,2014,3757,2365,0,1684,0,0,2,0,0
Bhutan,2004,751.8,2354.8,1624,21,0,2353,0,0,0
Mauritius,2006,2308.4,2350.4,0,0,0,77,0,0,0.4
Yemen,1993,2058,2350,0,0,0,0,0,0,0
El Salvador,1991,2277,2339,2,7,425,1269,0,0,0
Lao People's Dem. Rep.,1998,861.234,2333.6195,1614.4487,142.0632,0,2157.6195,0,0,0
Guatemala,1990,2319,2330,0,0,0,2147,0,0,0
Honduras,1991,2121,2319,200,5,0,2119,0,0,0
Honduras,1992,2313,2313,8,12,0,2113,0,0,0
Malta,2008,2185,2312,0,0,0,0,0,0,0
Bolivia (Plur. State of),1990,2292,2311,2,11,0,1180,0,0,0
Malta,2012,2172,2307,0,0,0,0,30,0,0
Papua New Guinea,1999,2303,2303,0,0,0,919,0,0,349
Ethiopia,2003,2064,2296,0,0,0,2280,0,0,0
Malta,2007,2165,2296,0,0,0,0,0,0,0
El Salvador,1990,2245,2296,9,11,419,1673,0,0,0
Nicaragua,2000,2199,2288,1,116,134,210,0,0,0
New Caledonia,2012,2259,2287.9,0,0,0,399.3,4.8,0,57.1
Honduras,1990,1983,2287,308,5,0,2087,0,0,0
Mauritius,2005,2224.4,2271.4,0,0,0,114,0,0,0.4
Réunion,2005,2271,2271,0,0,0,510.4,0.6,0,0
Nepal,2003,2096,2267,206,150,0,2263,0,0,0
New Caledonia,2011,2258,2266.83,0,0,0,374.7,3.93,0,45.5
Gabon,2013,2369,2264,0,184,0,932,2,0,0
Malta,2006,2129,2261,0,0,0,0,0,0,0
Malta,2013,2137,2251,0,0,0,0,29,0,0
Bahamas,2008,2181,2251,0,0,0,0,0,0,0
Bahamas,2007,2179,2246,0,0,0,0,0,0,0
Malta,2014,2137,2245,0,0,0,0,68,0,0
Côte d'Ivoire,1994,2211,2245,0,0,0,1257,0,0,0
United Rep. of Tanzania,1998,2290,2245,0,45,0,2078,0,0,0
Angola,2004,2121,2240,0,0,0,1750,0,0,0
Malta,2005,2214,2240,0,0,0,0,0,0,0
Malta,2003,2100,2236,0,0,0,0,0,0,0
Malta,2004,2081,2216,0,0,0,0,0,0,0
Bhutan,2002,664.21,2200.91,1561,24.3,0,2200,0,0,0
Jamaica,1992,2193,2199,0,0,0,109,0,0,0
Réunion,2004,2191,2191.08,0,0,0,577,0.08,0,0
Malta,2011,2053,2187,0,0,0,0,13,0,0
Uganda,2009,2037.84,2185.55,80.62,25.06,0,1280.55,0,0,0
Suriname,2013,2147.2,2184.3,0,0,0,481.1,0,0,0
Suriname,2014,2144.9,2179.6,0,0,0,795.1,0,0,0
Côte d'Ivoire,1993,2145,2179,0,0,0,1365,0,0,0
Papua New Guinea,1998,2174,2174,0,0,0,869,0,0,0
Malta,2009,2046,2168,0,0,0,0,0,0,0
Mauritius,2004,2116.4,2165.4,0,0,0,122,0,0,0.4
Yemen,1994,1889,2160,0,0,0,0,0,0,0
Yemen,1992,1915,2156,0,0,0,0,0,0,0
Nicaragua,1998,1996,2153,0,43,121,296,0,0,0
Gabon,2012,2076,2151,0,0,0,908,3,0,0
Nicaragua,1999,2039,2148,22,82,102,393,0,0,0
Montenegro,2007,4098,2144,108,2167,0,1284,0,0,0
Bahamas,2009,2068,2140,0,0,0,0,0,0,0
New Caledonia,2010,2108,2131.15,0,0,0,264.9,3.35,0,51.7
Senegal,2007,2237,2124,0,181,0,0,0,0,0
Brunei Darussalam,1996,2037,2123,0,0,0,0,0,0,0
Nepal,2002,1951,2123,186,150,0,2119,0,0,0
Jamaica,1991,2116,2123,0,0,0,120,0,0,0
Bahamas,2006,2058,2121,0,0,0,0,0,0,0
Malta,2010,1993,2116,0,0,0,0,1,0,0
Malawi,2013,1977.1,2097.51,17.9,0,0,1916.5,0,0,0
Malawi,2014,1977.1,2097.51,17.9,0,0,1916.5,0,0,0
Namibia,2008,4197,2097,47,2147,0,1415,0,0,0
Uganda,2008,2053.92,2088,67,40.92,0,1467,0,0,0
Bahamas,2005,2023,2085,0,0,0,0,0,0,0
Mauritius,2003,2037,2082,0,0,0,118,0,0,0
Réunion,2003,2079,2079,0,0,0,630,0,0,0
Cyprus,1991,2032,2077,0,0,0,0,0,0,0
Senegal,2004,2268,2061,0,293,0,0,3,0,0
Bhutan,2001,588.61,2059.4,1477.69,6.9,0,2058.95,0,0,0
United Rep. of Tanzania,1996,2070,2053,0,33,0,1748,0,0,0
Malta,2002,1927,2052,0,0,0,0,0,0,0
Ethiopia,2002,1905,2043,0,0,1,2023,0,0,0
Gabon,2011,1966,2033,0,0,0,840,0,0,0
"China, Macao SAR",2005,2288,2027,0,341,0,0,0,0,0
Malawi,2012,1908.1,2026.51,17.9,0,0,1845.5,0,0,0
Malawi,2010,1906.5,2023.64,20.5,0,0,1842.63,0,0,0
Ethiopia,2001,1653,2015,0,0,5,1993,0,0,0
Sudan (former),1997,1976,1997,0,0,0,975,0,0,0
Bahamas,2003,1935.1,1995.1,0,0,0,0,0,0,0
Angola,2003,1889,1995,0,0,0,1241,0,0,0
Bahamas,2004,1920.7,1979.7,0,0,0,0,0,0,0
Malawi,2011,1864,1978.61,20,0,0,1797.6,0,0,0
Cyprus,1990,1927,1974,0,0,0,0,0,0,0
"China, Macao SAR",2004,2027,1973,0,151,0,0,0,0,0
Suriname,2012,1938.9,1972.4,0,0,0,998,0,0,0
Bhutan,1996,413,1972,1560,7,0,1972,0,0,0
Yemen,1991,1717,1970,0,0,0,0,0,0,0
United Rep. of Tanzania,1993,1953,1967,0,0,0,1653,0,0,0
Brunei Darussalam,1995,1828,1966,0,0,0,0,0,0,0
Sudan (former),1998,1950,1966,0,0,0,1043,0,0,0
Senegal,2006,2131,1962,0,234,0,0,4,0,0
Uganda,2007,1938.25,1953,65,58.25,0,1412,0,0,0
Réunion,2002,1952,1952,0,0,0,594,0,0,0
Suriname,2011,1918.1,1951.3,0,0,0,946.4,0,0,0
Mauritius,2002,1904,1949,0,0,0,86,0,0,0
Guam,2001,1849.5,1947.7,0,0,0,0,0,0,0
New Caledonia,2009,1939.3,1944.6,0,0,0,397.4,0.6,0,41.5
Malawi,2009,1836.7,1944.14,16.3,0,0,1763.13,0,0,0
Malta,2001,1825,1943,0,0,0,0,0,0,0
Uganda,2004,1739.2,1942.2,197,2,0,1940,0,0,0
Guam,2000,1849.8,1941.4,0,0,0,0,0,0,0
Gabon,2010,1862,1932,0,0,0,907,0,0,0
New Caledonia,2007,1868,1926,0,0,0,390,0,0,37
Malta,2000,1802,1917,0,0,0,0,0,0,0
Mauritius,2001,1867,1910,0,0,0,70,0,0,0
Senegal,2005,2110,1908,0,267,0,0,4,0,0
Senegal,2001,1827,1906,0,0,0,0,2,0,0
Nicaragua,1996,1793,1904,10,14,600,340,0,0,0
Guam,1999,1814.1,1903.7,0,0,0,0,0,0,0
Guam,2005,1793.7,1897.2,0,0,0,0,0,0,0
Guam,2006,1789.4,1891.2,0,0,0,0,0,0,0
Nicaragua,1997,1946,1887,0,162,600,340,0,0,0
Bahamas,2002,1830.2,1886.2,0,0,0,0,0,0,0
Bahamas,2013,1811,1885,0,0,0,0,0,0,0
New Caledonia,2005,1826,1883,0,0,0,339,0,0,18
Guam,2010,1769.4,1882.4,0,0,0,0,0,0,0
Uganda,2005,1812,1881,63,2,0,1813,0,0,0
New Caledonia,2008,1876,1880.6,0,0,0,460,0.6,0,36
Guam,2007,1773.9,1879.4,0,0,0,0,0,0,0
Guam,2008,1773.2,1878.2,0,0,0,0,0,0,0
Guam,2004,1775,1877.8,0,0,0,0,0,0,0
New Caledonia,2006,1815,1872,0,0,0,288,0,0,28
Réunion,2001,1871,1872,0,0,0,500,0,0,0
Guam,2009,1762.9,1867.9,0,0,0,0,0,0,0
Nepal,2001,1841,1867,143,238,0,1849,0,0,0
Guam,2011,1746,1858,0,0,0,0,0,0,0
Côte d'Ivoire,1991,1830,1857,0,0,0,1288,0,0,0
Guam,1998,1766,1857,0,0,0,0,0,0,0
Senegal,2002,1974,1854,0,194,0,0,2,0,0
Malta,1999,1743,1854,0,0,0,0,0,0,0
Bahamas,2014,1779,1853,0,0,0,0,0,0,0
United Rep. of Tanzania,1992,1838,1852,0,0,0,1605,0,0,0
Côte d'Ivoire,1992,1819,1851,0,0,0,1048,0,0,0
Bhutan,1997,409,1838,1430,7,0,1838,0,0,0
Gabon,2009,1765,1835,0,0,0,944,0,0,0
Guam,1997,1745.5,1833.8,0,0,0,0,0,0,0
United Rep. of Tanzania,1991,1820,1833,0,0,0,1659,0,0,0
Gabon,2008,1730,1822,0,0,0,894,0,0,0
Senegal,2003,2083,1820,0,337,0,0,2,0,0
Guadeloupe,2013,1729,1818,0,0,81,19,99,0,57
Guadeloupe,2012,1726,1817,0,0,50,14,91,0,52
United Rep. of Tanzania,1995,1833,1817,0,32,0,1539,0,0,0
Guam,1996,1735,1811.2,0,0,0,0,0,0,0
Bhutan,2000,414,1810,1398,8,0,1810,0,0,0
Guadeloupe,2010,1730,1809,0,0,52,14,55,0,54
Guadeloupe,2014,1734,1809,0,0,75,22,95,0,54
Martinique,2010,1617,1808.365,0,0,0,0,42.9,0,1.665
Bahamas,2010,1804.6,1804.6,0,0,0,0,0,0,0
Uganda,2003,1580.2,1802.2,219,3,0,1796,0,0,0
Bhutan,1998,446,1801,1357,8,0,1801,0,0,0
Bhutan,1999,417,1800,1385,8,0,1800,0,0,0
Guam,2012,1690,1799,0,0,0,0,0,0,0
Malawi,2008,1689.1,1797.14,19.9,0,0,1615.13,0,0,0
"China, Macao SAR",2003,1880,1796,0,180,0,0,0,0,0
Papua New Guinea,1990,1790,1790,0,0,0,460,0,0,0
Papua New Guinea,1992,1790,1790,0,0,0,460,0,0,0
Papua New Guinea,1991,1790,1790,0,0,0,460,0,0,0
Papua New Guinea,1993,1790,1790,0,0,0,460,0,0,0
Nicaragua,1995,1690,1786,0,0,550,335,0,0,0
Martinique,2012,1591,1780.487,0,0,0,0,42.9,0,1.665
Cambodia,2013,3805,1778,0,2050,0,1016,3,0,0
Guam,2003,1683.9,1777.4,0,0,0,0,0,0,0
Mauritius,2000,1738,1777,0,0,0,95,0,0,0
United Rep. of Tanzania,1997,1819,1775,0,44,0,1449,0,0,0
Bahamas,2001,1716.5,1769.5,0,0,0,0,0,0,0
Guadeloupe,2011,1692,1767,0,0,51,14,94,0,53
Angola,2002,1671,1765,0,0,0,1143,0,0,0
Martinique,2013,1577,1764.463,0,0,0,0,44,0,1.665
Martinique,2014,1562,1764.463,0,0,0,0,44,0,1.665
Martinique,2011,1576,1764.403,0,0,0,0,42.9,0,1.665
Papua New Guinea,1996,1759,1759,0,0,0,943,0,0,0
